Date,country,crypto,interest,country_code,iso3,name,region,lon,lat,Open,High,Low,Close,Volume,returns,log_returns,volatility_7d,volatility_30d,returns_squared,price_normalized
2022-03-20,US,Bitcoin,27,US,USA,United States,Americas,-77.0369,38.9072,42191.40625,42241.1640625,41004.7578125,41247.82421875,20127946682,-0.022346848712323064,-0.022600322885966202,0.02706258324659689,0.04343188695313628,0.000499381647371455,0.2638243275849425
2022-03-27,US,Bitcoin,29,US,USA,United States,Americas,-77.0369,38.9072,44505.35546875,46827.546875,44437.29296875,46820.4921875,28160889722,0.052126312256127294,0.050813175792382204,0.019146084487748884,0.04232475163496408,0.0027171524294232864,0.31295284662166123
2022-04-03,US,Bitcoin,26,US,USA,United States,Americas,-77.0369,38.9072,45859.12890625,47313.4765625,45634.10546875,46453.56640625,25414397610,0.012745379989237415,0.012664841243046981,0.016913259275818736,0.028444736921783148,0.00016244471107005354,0.30971803695234457
2022-04-10,US,Bitcoin,25,US,USA,United States,Americas,-77.0369,38.9072,42781.08984375,43376.37890625,42021.20703125,42207.671875,17654475582,-0.013427680050824398,-0.013518646577317169,0.022692603457655766,0.023934809705988682,0.0001803025915473075,0.27228632354753446
2022-04-17,US,Bitcoin,22,US,USA,United States,Americas,-77.0369,38.9072,40417.77734375,40570.7265625,39620.89453125,39716.953125,19087633042,-0.017502542356175654,-0.017657522881942136,0.03144398472173545,0.02461561865347161,0.0003063389889297228,0.25032820147554335
2022-04-24,US,Bitcoin,24,US,USA,United States,Americas,-77.0369,38.9072,39478.375,39845.92578125,39233.5390625,39469.29296875,17964398167,-0.0004416040475622163,-0.00044170158334548267,0.017782656300474604,0.02400613659324366,1.9501413482333218e-07,0.2481448349499949
2022-05-01,US,Bitcoin,24,US,USA,United States,Americas,-77.0369,38.9072,37713.265625,38627.859375,37585.7890625,38469.09375,27002760110,0.019997911964443782,0.019800580200401846,0.03354617213392852,0.025389372346073226,0.00039991648293764376,0.23932710049417863
2022-05-08,US,Bitcoin,58,US,USA,United States,Americas,-77.0369,38.9072,35502.94140625,35502.94140625,33878.96484375,34059.265625,36763041910,-0.040636848764922684,-0.04148559878699712,0.03964827080445538,0.029611371079742658,0.0016513534775431983,0.20045015210919953
2022-05-15,US,Bitcoin,40,US,USA,United States,Americas,-77.0369,38.9072,30098.5859375,31308.19140625,29527.740234375,31305.11328125,25835372065,0.03999325713567892,0.03921422960887751,0.05624493113264116,0.0363245040863351,0.0015994606163205326,0.17616960523134634
2022-05-22,US,Bitcoin,28,US,USA,United States,Americas,-77.0369,38.9072,29432.47265625,30425.861328125,29275.18359375,30323.72265625,21631532270,0.030289794482822652,0.02984011653578575,0.04268435274153099,0.040259285608669634,0.0009174716498116335,0.16751768692701846
2022-05-29,US,Bitcoin,26,US,USA,United States,Americas,-77.0369,38.9072,29019.8671875,29498.009765625,28841.107421875,29445.95703125,18093886409,0.02190035821988534,0.02166399017895866,0.022348323444328043,0.03901908933129742,0.0004796256901592994,0.15977932435824285
2022-06-05,US,Bitcoin,26,US,USA,United States,Americas,-77.0369,38.9072,29835.1171875,30117.744140625,29574.44921875,29906.662109375,17264085441,0.00247203631266113,0.002468985857085947,0.0428659226410168,0.03981873808548697,6.110963531115236e-06,0.1638408902595133
2022-06-12,US,Bitcoin,79,US,USA,United States,Americas,-77.0369,38.9072,28373.513671875,28502.685546875,26762.6484375,26762.6484375,34163220274,-0.056351073137826724,-0.05800108151881945,0.033405299559790505,0.03511533367786751,0.0031754434437846965,0.13612333443228863
2022-06-19,US,Bitcoin,53,US,USA,United States,Americas,-77.0369,38.9072,19010.90234375,20683.822265625,18067.15234375,20553.271484375,35329942625,0.0807475952890373,0.07765301952407,0.08043074897985389,0.048125563194556624,0.006520174144962159,0.08138160290289498
2022-06-26,US,Bitcoin,39,US,USA,United States,Americas,-77.0369,38.9072,21496.494140625,21783.724609375,21016.26953125,21027.294921875,18027170497,-0.02209261947079333,-0.02234031636729734,0.02853253723983075,0.048926636821818824,0.0004880838350812765,0.08556058316937824
2022-07-03,US,Bitcoin,34,US,USA,United States,Americas,-77.0369,38.9072,19242.095703125,19558.26953125,18966.951171875,19297.076171875,16390821947,0.002848954556089245,0.0028449039765122944,0.010472679876369111,0.04420844707841924,8.116542062661667e-06,0.07030701247868991
2022-07-10,US,Bitcoin,31,US,USA,United States,Americas,-77.0369,38.9072,21591.080078125,21591.080078125,20727.123046875,20860.44921875,28688807249,-0.03388990349346599,-0.03447747972502637,0.030929234010854633,0.04590982117851933,0.0011485255587964382,0.08408967509659565
2022-07-17,US,Bitcoin,31,US,USA,United States,Americas,-77.0369,38.9072,21195.041015625,21600.640625,20778.1796875,20779.34375,22927802083,-0.01939436147960416,-0.01958489970974724,0.031954670658432965,0.03269866630598966,0.0003761412572015537,0.08337465105643915
2022-07-24,US,Bitcoin,26,US,USA,United States,Americas,-77.0369,38.9072,22465.509765625,22974.001953125,22306.83984375,22609.1640625,23565495303,0.006395837363315726,0.006375470790258249,0.03611873167534364,0.028716005185083153,4.090673557798546e-05,0.09950630694560123
2022-07-31,US,Bitcoin,23,US,USA,United States,Americas,-77.0369,38.9072,23652.0703125,24121.642578125,23275.703125,23336.896484375,23553591896,-0.013497960448739299,-0.013589886059606543,0.042869431727033155,0.032986702577679286,0.00018219493627573042,0.10592198007420195
2022-08-07,US,Bitcoin,22,US,USA,United States,Americas,-77.0369,38.9072,22963.505859375,23359.009765625,22894.556640625,23175.890625,15886817043,0.009346662498644243,0.009303252730044901,0.015583754485894816,0.031485076517417214,8.736009986356264e-05,0.10450255593630518
2022-08-14,US,Bitcoin,21,US,USA,United States,Americas,-77.0369,38.9072,24429.056640625,24974.9140625,24206.259765625,24319.333984375,22994133555,-0.004288162539464846,-0.0042973830773317305,0.02096798216017606,0.028985057269760486,1.8388337964869595e-05,0.11458312760565317
2022-08-21,US,Bitcoin,21,US,USA,United States,Americas,-77.0369,38.9072,21160.392578125,21668.845703125,21103.197265625,21534.12109375,23102307723,0.01738918520335342,0.017239723512555944,0.03963230835688864,0.03058020504545084,0.0003023837620365255,0.0900287516252953
2022-08-28,US,Bitcoin,21,US,USA,United States,Americas,-77.0369,38.9072,20041.03515625,20139.0546875,19616.814453125,19616.814453125,24366810591,-0.021201944769558057,-0.0214299343072556,0.023966942136406,0.02594384171723217,0.00044952246201139024,0.07312581817916337
2022-09-04,US,Bitcoin,21,US,USA,United States,Americas,-77.0369,38.9072,19832.470703125,19999.689453125,19636.81640625,19986.712890625,25245861652,0.007796708085036963,0.007766470822269511,0.018740848308492177,0.026734631931128013,6.078865696328075e-05,0.07638683472102052
2022-09-11,US,Bitcoin,22,US,USA,United States,Americas,-77.0369,38.9072,21678.54296875,21770.552734375,21406.9453125,21769.255859375,34493951963,0.004092001431295067,0.004083651963045384,0.04714105261245691,0.03341244425280145,1.6744475713720878e-05,0.09210169458080274
2022-09-18,US,Bitcoin,24,US,USA,United States,Americas,-77.0369,38.9072,20127.234375,20127.234375,19387.4921875,19419.505859375,31254779144,-0.035179114785287124,-0.03581280604750071,0.04078113997821211,0.0339266705180909,0.001237570117076407,0.07138634992831594
2022-09-25,US,Bitcoin,20,US,USA,United States,Americas,-77.0369,38.9072,18936.310546875,19134.732421875,18696.46875,18802.09765625,23359966112,-0.007124358610731463,-0.007149858037088313,0.025737913199094124,0.03369326248854112,5.075648561430354e-05,0.06594329270137395
